business_id,score,date,type,new_date,year
538,86,20160928,routine,2016-09-28,2016
538,85,20160411,routine,2016-04-11,2016
538,88,20170927,routine,2017-09-27,2017
539,96,20161031,routine,2016-10-31,2016
539,90,20171010,routine,2017-10-10,2017
539,96,20160419,routine,2016-04-19,2016
539,92,20150511,routine,2015-05-11,2015
542,83,20160224,routine,2016-02-24,2016
542,86,20161006,routine,2016-10-06,2016
542,80,20170630,routine,2017-06-30,2017
544,78,20160608,routine,2016-06-08,2016
544,74,20170822,routine,2017-08-22,2017
547,98,20150813,routine,2015-08-13,2015
547,94,20170224,routine,2017-02-24,2017
547,98,20160412,routine,2016-04-12,2016
551,81,20161107,routine,2016-11-07,2016
551,85,20160321,routine,2016-03-21,2016
551,76,20170621,routine,2017-06-21,2017
552,89,20170110,routine,2017-01-10,2017
552,81,20170815,routine,2017-08-15,2017
552,87,20160516,routine,2016-05-16,2016
557,90,20150507,routine,2015-05-07,2015
557,85,20160629,routine,2016-06-29,2016
557,76,20171018,routine,2017-10-18,2017
562,98,20160810,routine,2016-08-10,2016
573,86,20170119,routine,2017-01-19,2017
573,86,20170127,routine,2017-01-27,2017
573,100,20170906,routine,2017-09-06,2017
573,100,20170927,routine,2017-09-27,2017
580,91,20170829,routine,2017-08-29,2017
580,92,20160829,routine,2016-08-29,2016
580,96,20170307,routine,2017-03-07,2017
580,91,20160311,routine,2016-03-11,2016
580,93,20150820,routine,2015-08-20,2015
587,96,20160608,routine,2016-06-08,2016
588,88,20171121,routine,2017-11-21,2017
588,83,20160615,routine,2016-06-15,2016
588,91,20170103,routine,2017-01-03,2017
588,78,20151117,routine,2015-11-17,2015
589,85,20161128,routine,2016-11-28,2016
589,80,20160503,routine,2016-05-03,2016
591,83,20160615,routine,2016-06-15,2016
606,86,20160518,routine,2016-05-18,2016
606,78,20170720,routine,2017-07-20,2017
610,94,20160819,routine,2016-08-19,2016
615,100,20150914,routine,2015-09-14,2015
615,86,20170608,routine,2017-06-08,2017
615,92,20160718,routine,2016-07-18,2016
619,93,20150423,routine,2015-04-23,2015
619,88,20160525,routine,2016-05-25,2016
619,86,20170118,routine,2017-01-18,2017
619,90,20170929,routine,2017-09-29,2017
625,96,20150625,routine,2015-06-25,2015
625,90,20160921,routine,2016-09-21,2016
627,93,20150819,routine,2015-08-19,2015
628,90,20161130,routine,2016-11-30,2016
628,82,20160418,routine,2016-04-18,2016
631,98,20160930,routine,2016-09-30,2016
639,92,20160303,routine,2016-03-03,2016
639,92,20150806,routine,2015-08-06,2015
639,94,20171023,routine,2017-10-23,2017
639,94,20160913,routine,2016-09-13,2016
642,100,20150128,routine,2015-01-28,2015
642,94,20160617,routine,2016-06-17,2016
645,100,20150128,routine,2015-01-28,2015
645,93,20170405,routine,2017-04-05,2017
659,82,20171023,routine,2017-10-23,2017
659,88,20160429,routine,2016-04-29,2016
659,87,20161104,routine,2016-11-04,2016
665,89,20171127,routine,2017-11-27,2017
665,83,20161005,routine,2016-10-05,2016
670,86,20150602,routine,2015-06-02,2015
670,86,20171023,routine,2017-10-23,2017
670,86,20160914,routine,2016-09-14,2016
691,92,20150610,routine,2015-06-10,2015
691,80,20170925,routine,2017-09-25,2017
691,90,20160919,routine,2016-09-19,2016
695,94,20160404,routine,2016-04-04,2016
695,92,20170713,routine,2017-07-13,2017
695,94,20160930,routine,2016-09-30,2016
695,96,20180112,routine,2018-01-12,2018
703,57,20150224,routine,2015-02-24,2015
703,66,20160617,routine,2016-06-17,2016
709,82,20151110,routine,2015-11-10,2015
709,83,20170112,routine,2017-01-12,2017
709,87,20170927,routine,2017-09-27,2017
726,75,20160217,routine,2016-02-17,2016
726,72,20161109,routine,2016-11-09,2016
741,83,20160610,routine,2016-06-10,2016
744,100,20150723,routine,2015-07-23,2015
744,98,20180116,routine,2018-01-16,2018
744,90,20160624,routine,2016-06-24,2016
744,96,20170201,routine,2017-02-01,2017
754,98,20171005,routine,2017-10-05,2017
758,94,20160809,routine,2016-08-09,2016
758,94,20171212,routine,2017-12-12,2017
765,86,20170125,routine,2017-01-25,2017
765,84,20150603,routine,2015-06-03,2015
