business_id,name,address,city,state,postal_code,latitude,longitude,phone_number,postal_code_5
68442,SAUCE BELDEN,56 BELDEN PL ,San Francisco,CA,94104,37.791458,-122.40378700000001,+14153978800,94104
68451,BUCKHORN GRILLS,101 04TH ST #1060,San Francisco,CA,94103,37.784548,-122.40418999999999,+14153696150,94103
68454,KIPPU JAPANESE RESTAURANT,1707 BUCHANAN ST ,San Francisco,CA,94115,37.785639,-122.429841,+14155676552,94115
68467,YONG FONG CO.,612 CLEMENT ST ,San Francisco,CA,94118,37.782939,-122.465631,+14158315617,94118
68469,THE ROASTERY,199 NEW MONTGOMERY  A,San Francisco,CA,94105,,,+14155317814,94105
68483,EL TOMATE RESTAURANT,2904 24TH ST ,San Francisco,CA,94110,37.752777,-122.41026200000002,+14158261363,94110
68493,CASSAVA BAKERY & CAFE,3519 BALBOA ST ,San Francisco,CA,94121,37.775705,-122.496453,+14156408990,94121
68503,NIZARIO'S PIZZA,535 VALENCIA ST ,San Francisco,CA,94110,37.764294,-122.421796,+14153509686,94110
68504,THE FITZGERALD HOTEL,620 POST ST,San Francisco,CA,94109,37.787848,-122.412123,+14157558100,94109
68508,PHO NICE,880 GENEVA AVE #A,San Francisco,CA,94112,37.716903,-122.441337,+14155878321,94112
68511,GIOIA PIZZERIA,2238 POLK ST,San Francisco,CA,94109,37.797424,-122.42199099999999,+14152297844,94109
68540,RANK QUICKSERVE,4199 MISSION ST ,San Francisco,CA,94112,37.730249,-122.42973899999998,+14154699836,94112
68560,WOW NAAN-N-CURRY,642 IRVING ST ,San Francisco,CA,94122,37.764128,-122.46496100000002,+14156647225,94122
68576,JOANNAKARLINSKY.COM,500 04TH ST ,San Francisco,CA,94107,,,+14153369473,94107
68597,12 TRIBES KOSHER FOODS,3200 CALIFORNIA ST ,San Francisco,CA,94118,37.787310999999995,-122.44683899999998,+14158008594,94118
68600,BLACK POINT CAFE,882 NORTH POINT ST ,San Francisco,CA,94109,37.805568,-122.421764,+14157885667,94109
